id,date,account,vendor,amount,description
GL-3000,2024-01-01,6400 · Travel,Pine & Rail Travel,2036.94,Conference travel
GL-3001,2024-01-01,6710 · Equipment,Fieldstone Repairs,4774.79,Equipment repair
GL-3002,2024-01-01,6800 · Events,Kingswell Materials,1300.41,Team event
GL-3003,2024-01-01,6210 · Software,Nightingale Solutions,3327.51,Software license
GL-3004,2024-01-01,6900 · Miscellaneous,Northfield Trade Ltd,1256.22,General purchase
GL-3005,2024-01-01,6600 · Marketing,Vinewood Co,2204.8,Ad campaign
GL-3006,2024-01-01,6210 · Software,Lyndon Supply,5837.74,Platform fee
GL-3007,2024-01-01,6600 · Marketing,Gladewell Trade Ltd,6825.46,Marketing spend
GL-3008,2024-01-01,6210 · Software,Lyndon Logistics,1225.61,Subscription renewal
GL-3009,2024-01-01,6500 · Professional,Heathfield Contractors,1950.3,Consulting engagement
GL-3010,2024-01-01,6100 · Facilities,Wrenfield Logistics,3263.93,Repairs
GL-3011,2024-01-01,6000 · Office,Kingswell Logistics,714.76,General office purchase
GL-3012,2024-01-01,6900 · Miscellaneous,Vinewood Supply,1346.58,Miscellaneous expense
GL-3013,2024-01-01,6000 · Office,Pinehollow Distribution,1843.98,General office purchase
GL-3014,2024-01-01,6800 · Events,Millbrook Co,1713.24,Event costs
GL-3015,2024-01-01,6300 · Contractors,Pemberton Logistics,9687.17,Consulting work
GL-3016,2024-01-01,6100 · Facilities,Wrenfield Advisory,2212.87,Building maintenance
GL-3017,2024-01-01,6900 · Miscellaneous,Cloverfield Solutions,3250.64,Miscellaneous expense
GL-3018,2024-01-01,6710 · Equipment,Stonebridge Supply Co,5481.05,Equipment purchase
GL-3019,2024-01-01,6900 · Miscellaneous,Jasperton Vendors,687.27,General purchase
GL-3020,2024-01-01,6600 · Marketing,Ashcroft Advisory,6941.67,Marketing spend
GL-3021,2024-01-02,6300 · Contractors,Basecamp Staffing,6268.14,Contract staffing
GL-3022,2024-01-02,6900 · Miscellaneous,Thistle & Co Design,1618.22,General purchase
GL-3023,2024-01-02,6400 · Travel,Westgate Trade Ltd,2445.69,Client visit travel
GL-3024,2024-01-02,6300 · Contractors,Timberline Logistics,7331.46,Consulting work
GL-3025,2024-01-02,6300 · Contractors,Nightingale & Sons,10921.13,Consulting work
GL-3026,2024-01-02,6100 · Facilities,Underbrook Ventures,4441.42,Building maintenance
GL-3027,2024-01-02,6400 · Travel,Quarryfield Distribution,326.35,Client visit travel
GL-3028,2024-01-02,6900 · Miscellaneous,Millhaven Group,3446.82,General purchase
GL-3029,2024-01-02,6900 · Miscellaneous,Underbrook Distribution,1548.71,Miscellaneous expense
GL-3030,2024-01-02,6600 · Marketing,Heathfield Vendors,3962.33,Ad campaign
GL-3031,2024-01-02,6300 · Contractors,Copperfield Supply Co,2489.55,Project support
GL-3032,2024-01-02,6710 · Equipment,Valeworth Supply Co,1199.61,Equipment maintenance
GL-3033,2024-01-02,6400 · Travel,Dunmore Contractors,699.44,Client visit travel
GL-3034,2024-01-02,6400 · Travel,Underbrook Partners,984.87,Conference travel
GL-3035,2024-01-02,6300 · Contractors,Birchwood Consulting,4935.75,Project support
GL-3036,2024-01-02,6710 · Equipment,Lyndon Group,5340.78,Hardware
GL-3037,2024-01-02,6100 · Facilities,Overhill Distribution,2881.33,Repairs
GL-3038,2024-01-02,6400 · Travel,Pinehollow Supply,1042.18,Travel expense
GL-3039,2024-01-02,6210 · Software,Ironwood Contractors,2229.22,Platform fee
GL-3040,2024-01-03,6900 · Miscellaneous,Elmgate Services,1157.19,General purchase
GL-3041,2024-01-03,6300 · Contractors,Barrow Contractors,11308.16,Contractor invoice
GL-3042,2024-01-03,6710 · Equipment,Islewood Trade Ltd,672.52,Equipment maintenance
